iter	Passed	Remaining
0	29	29931
1	59	29759
2	90	30091
3	120	29981
4	149	29828
5	181	30120
6	211	30060
7	243	30137
8	272	30034
9	303	30000
10	329	29632
11	360	29660
12	392	29777
13	425	29942
14	455	29928
15	485	29855
16	517	29896
17	546	29794
18	576	29778
19	604	29604
20	634	29591
21	663	29476
22	693	29437
23	722	29376
24	751	29315
25	784	29384
26	815	29405
27	846	29381
28	876	29341
29	909	29415
30	939	29365
31	968	29294
32	999	29285
33	1030	29269
34	1059	29204
35	1089	29186
36	1119	29149
37	1149	29094
38	1179	29053
39	1209	29022
40	1239	28999
41	1271	28998
42	1303	28999
43	1332	28962
44	1363	28939
45	1396	28957
46	1427	28954
47	1459	28936
48	1488	28896
49	1519	28865
50	1548	28817
51	1578	28773
52	1608	28743
53	1638	28706
54	1670	28695
55	1701	28676
56	1732	28655
57	1760	28592
58	1791	28572
59	1821	28530
60	1851	28508
61	1882	28476
62	1913	28457
63	1945	28448
64	1975	28417
65	2010	28450
66	2041	28430
67	2072	28406
68	2104	28388
69	2133	28347
70	2164	28327
71	2195	28293
72	2227	28281
73	2258	28255
74	2289	28242
75	2320	28212
76	2352	28194
77	2385	28194
78	2416	28177
79	2448	28160
80	2479	28136
81	2511	28112
82	2539	28054
83	2570	28034
84	2602	28016
85	2634	28002
86	2663	27949
87	2694	27923
88	2724	27892
89	2756	27867
90	2787	27839
91	2816	27794
92	2847	27774
93	2875	27715
94	2905	27679
95	2935	27638
96	2966	27614
97	2995	27572
98	3025	27537
99	3056	27508
100	3085	27463
101	3114	27421
102	3144	27386
103	3174	27346
104	3204	27310
105	3235	27286
106	3261	27223
107	3290	27178
108	3320	27142
109	3350	27110
110	3379	27067
111	3411	27046
112	3440	27006
113	3471	26977
114	3499	26931
115	3528	26887
116	3559	26864
117	3588	26822
118	3618	26786
119	3647	26746
120	3676	26704
121	3705	26667
122	3735	26631
123	3765	26601
124	3794	26563
125	3825	26538
126	3853	26491
127	3886	26479
128	3916	26442
129	3948	26422
130	3977	26387
131	4006	26347
132	4036	26310
133	4068	26292
134	4096	26245
135	4125	26207
136	4156	26182
137	4187	26154
138	4216	26120
139	4244	26074
140	4274	26040
141	4303	26005
142	4335	25982
143	4367	25963
144	4397	25930
145	4427	25897
146	4457	25866
147	4486	25827
148	4516	25797
149	4548	25775
150	4578	25742
151	4608	25708
152	4639	25685
153	4669	25652
154	4701	25628
155	4732	25604
156	4762	25572
157	4791	25535
158	4820	25498
159	4848	25455
160	4879	25428
161	4909	25395
162	4937	25355
163	4969	25330
164	5000	25304
165	5030	25274
166	5061	25246
167	5092	25220
168	5121	25183
169	5151	25149
170	5181	25119
171	5215	25105
172	5245	25076
173	5275	25041
174	5301	24993
175	5332	24965
176	5361	24930
177	5391	24896
178	5419	24858
179	5450	24830
180	5480	24799
181	5510	24768
182	5540	24733
183	5569	24700
184	5599	24668
185	5628	24633
186	5657	24596
187	5689	24573
188	5718	24536
189	5748	24505
190	5776	24467
191	5806	24437
192	5835	24401
193	5866	24372
194	5897	24344
195	5926	24312
196	5956	24280
197	5986	24249
198	6016	24215
199	6040	24162
200	6072	24138
201	6103	24112
202	6133	24081
203	6165	24057
204	6194	24024
205	6226	23998
206	6257	23973
207	6287	23941
208	6317	23910
209	6346	23874
210	6377	23849
211	6408	23821
212	6439	23793
213	6468	23758
214	6498	23727
215	6528	23696
216	6559	23669
217	6590	23641
218	6619	23606
219	6649	23574
220	6679	23545
221	6709	23512
222	6741	23489
223	6771	23458
224	6803	23435
225	6834	23407
226	6864	23375
227	6894	23343
228	6923	23309
229	6953	23279
230	6985	23255
231	7015	23223
232	7045	23193
233	7078	23172
234	7107	23138
235	7137	23105
236	7167	23075
237	7197	23045
238	7225	23007
239	7256	22978
240	7286	22947
241	7319	22927
242	7351	22901
243	7379	22864
244	7408	22830
245	7441	22807
246	7470	22773
247	7500	22743
248	7532	22717
249	7563	22690
250	7593	22658
