iter	Passed	Remaining
0	5	5482
1	10	5331
2	14	4721
3	19	4833
4	24	4917
5	29	4895
6	34	4900
7	40	5041
8	44	4855
9	49	4925
10	54	4908
11	59	4927
12	63	4808
13	67	4782
14	73	4826
15	78	4839
16	82	4795
17	88	4811
18	93	4830
19	97	4797
20	102	4793
21	108	4810
22	113	4816
23	118	4828
24	123	4820
25	129	4842
26	133	4805
27	138	4793
28	143	4796
29	148	4794
30	153	4798
31	158	4796
32	163	4801
33	168	4773
34	173	4786
35	179	4799
36	185	4815
37	188	4759
38	193	4772
39	199	4792
40	204	4793
41	210	4798
42	215	4806
43	221	4803
44	226	4812
45	232	4823
46	237	4824
47	242	4816
48	248	4814
49	253	4807
50	258	4814
51	263	4811
52	269	4807
53	274	4809
54	278	4777
55	283	4775
56	288	4765
57	293	4758
58	298	4757
59	303	4753
60	308	4746
61	313	4738
62	318	4743
63	324	4739
64	327	4716
65	333	4714
66	337	4696
67	342	4696
68	347	4687
69	352	4686
70	357	4676
71	360	4644
72	365	4639
73	370	4631
74	375	4632
75	381	4633
76	386	4631
77	391	4633
78	397	4629
79	401	4622
80	406	4613
81	411	4610
82	416	4605
83	422	4605
84	427	4605
85	432	4598
86	438	4597
87	444	4601
88	449	4600
89	454	4599
90	460	4596
91	465	4593
92	468	4569
93	474	4570
94	479	4565
95	484	4563
96	487	4533
97	491	4528
98	497	4526
99	502	4522
100	507	4519
101	512	4512
102	517	4509
103	521	4494
104	527	4494
105	532	4491
106	537	4489
107	543	4487
108	548	4483
109	554	4483
110	559	4479
111	564	4476
112	569	4473
113	574	4468
114	580	4466
115	585	4463
116	590	4456
117	595	4452
118	600	4447
119	606	4446
120	611	4441
121	616	4437
122	621	4431
123	627	4431
124	632	4429
125	638	4427
126	644	4427
127	649	4422
128	654	4421
129	659	4414
130	664	4409
131	670	4407
132	675	4405
133	682	4408
134	688	4408
135	693	4406
136	699	4405
137	704	4400
138	710	4398
139	714	4388
140	719	4385
141	725	4381
142	731	4383
143	738	4388
144	744	4388
145	750	4389
146	756	4391
147	762	4391
148	768	4391
149	772	4378
150	779	4381
151	785	4382
152	792	4386
153	798	4386
154	804	4386
155	810	4384
156	813	4368
157	819	4367
158	825	4368
159	831	4364
160	837	4364
161	843	4363
162	849	4363
163	856	4365
164	862	4366
165	869	4365
166	875	4364
