iter	Logloss
0	0.6872365561
1	0.6818292472
2	0.6754186647
3	0.6702189702
4	0.6644358812
5	0.657994217
6	0.6538944067
7	0.6485632639
8	0.6428993302
9	0.636901304
10	0.6322992634
11	0.628087314
12	0.6222754493
13	0.6179362704
14	0.6138839328
15	0.6092091977
16	0.60683949
17	0.6022835982
18	0.5985931854
19	0.5963773546
20	0.5915681577
21	0.5875164791
22	0.5839079802
23	0.5798354601
24	0.5757427324
25	0.5715283744
26	0.5677345959
27	0.5641937486
28	0.5609448319
29	0.5582236502
30	0.5547657953
31	0.5508777705
32	0.5475350773
33	0.5452358982
34	0.5421163719
35	0.5393563681
36	0.5365499396
37	0.5330681118
38	0.529701973
39	0.5272031481
40	0.5242649421
41	0.5209625298
42	0.5185338218
43	0.5152685346
44	0.5121619674
45	0.509461486
46	0.5065067038
47	0.504057313
48	0.5017569494
49	0.4996787953
50	0.4975717659
51	0.4965424734
52	0.4945721525
53	0.4919372088
54	0.4896720484
55	0.4881728547
56	0.4863688607
57	0.4848200992
58	0.4823471496
59	0.4803962955
60	0.4783906109
61	0.4762258282
62	0.4743245496
63	0.4724335862
64	0.4704066785
65	0.4694973093
66	0.4676908713
67	0.4669779719
68	0.4651637387
69	0.4635144313
70	0.4626839106
71	0.4613062627
72	0.459919321
73	0.4579082565
74	0.4560263891
75	0.4544133803
76	0.4527156408
77	0.4513789652
78	0.4495565807
79	0.4480729307
80	0.4465133094
81	0.4453225496
82	0.4440763339
83	0.4428823001
84	0.4415078914
85	0.4401455338
86	0.4390164954
87	0.43856551
88	0.4373624004
89	0.4361103863
90	0.4348215281
91	0.434294102
92	0.4338904395
93	0.4329083992
94	0.4321110405
95	0.430969888
96	0.4296432834
97	0.4287961964
98	0.4276705473
99	0.4268155672
100	0.4255682803
101	0.4244442006
102	0.4233483734
103	0.4226002581
104	0.4213432171
105	0.4204701723
106	0.4195329253
107	0.4187624927
108	0.4175817955
109	0.4168365918
110	0.4159428082
111	0.4151899259
112	0.4140365545
113	0.4131451602
114	0.4121701182
115	0.4116278013
116	0.410959117
117	0.4098816855
118	0.4088602965
119	0.4078867493
120	0.4068952097
121	0.4062022457
122	0.4056264134
123	0.4049032827
124	0.4041077924
125	0.4033548831
126	0.4026788917
127	0.4017625394
128	0.4012028862
129	0.4006089468
130	0.3999363089
131	0.3992234012
132	0.3985091339
133	0.3977664436
134	0.3970007116
135	0.3963612287
136	0.3954468074
137	0.3953004307
138	0.3946465789
139	0.394042627
140	0.393278423
141	0.3928541418
142	0.3923433641
143	0.391732904
144	0.3913516795
145	0.3907640184
146	0.3900591949
147	0.3895045387
148	0.3890217118
149	0.3885542779
150	0.388218591
151	0.3878137594
152	0.3871719697
153	0.3864957544
154	0.3860749638
155	0.3857388824
156	0.3852181555
157	0.3848209448
158	0.3842660658
159	0.3838512189
160	0.3831717183
161	0.3827591931
162	0.3820792299
163	0.3814867497
164	0.380971746
165	0.3805135969
166	0.3799601853
167	0.3796913007
168	0.3793172825
169	0.3792051251
170	0.3786975389
171	0.3781820533
172	0.3777384462
173	0.3773133929
174	0.3768734163
175	0.3763766796
176	0.3759663465
177	0.3755863437
178	0.3752564615
179	0.3748568654
180	0.3746112569
181	0.3744394336
182	0.3739243849
183	0.3736000287
184	0.3732563384
185	0.3732092781
186	0.3727934878
187	0.3723854649
188	0.371996026
189	0.3715600433
190	0.3711456365
191	0.370822497
192	0.3703585032
193	0.3703234228
194	0.3697968626
195	0.3694880314
196	0.3690539227
197	0.3685536803
198	0.3682914076
199	0.3680245653
200	0.3676440446
201	0.3672501988
202	0.3669248632
203	0.3664813795
204	0.3663992459
205	0.3660398876
206	0.3658695954
207	0.3655811749
208	0.3651700815
209	0.3649564321
210	0.3647334996
211	0.3643432858
212	0.3639328017
213	0.3636290307
214	0.3635814003
215	0.3632297583
216	0.3627567529
217	0.3626710141
218	0.3624250631
219	0.3621581734
220	0.3617779903
221	0.3615220217
222	0.3611299939
223	0.3608298931
224	0.3603995451
225	0.360149528
226	0.359805652
227	0.3594757447
228	0.3590295822
229	0.3587616229
230	0.3586473176
231	0.358420851
232	0.3582699022
233	0.357999252
234	0.3577705281
235	0.3575704573
236	0.357270464
237	0.3569868888
238	0.3566264797
239	0.3562897583
240	0.356034356
241	0.3558703186
242	0.3555748367
243	0.3553491203
244	0.355129793
245	0.354914405
246	0.3546509671
247	0.3542644643
248	0.3539997463
249	0.3537447016
250	0.353486053
251	0.3531494395
252	0.3527750813
253	0.3525439238
254	0.3522140305
255	0.3519598134
256	0.3518311034
257	0.3516098508
258	0.3513761479
259	0.3510164579
260	0.3506114261
261	0.3504405015
262	0.3500505785
263	0.3498060992
264	0.3497511374
265	0.3495597007
266	0.3493378043
267	0.3491065009
268	0.3487624267
269	0.3485488337
270	0.3482829727
271	0.3481237193
272	0.3479911979
273	0.3477520306
274	0.3475419352
275	0.3472663942
276	0.3469368222
277	0.3468035947
278	0.3465750688
279	0.3463177547
280	0.3461315446
281	0.3458552205
282	0.3458461153
283	0.3456537504
284	0.3454725024
285	0.3453014952
286	0.3450275336
287	0.3448175815
288	0.3444821351
289	0.3440145558
290	0.3437749962
291	0.3436137494
292	0.3433388412
