iter	Passed	Remaining
0	6	6228
1	11	5947
2	18	6156
3	24	6061
4	30	6041
5	36	5974
6	39	5575
7	44	5551
8	50	5549
9	56	5617
10	62	5625
11	66	5457
12	72	5490
13	78	5535
14	83	5454
15	88	5458
16	91	5273
17	95	5224
18	101	5218
19	103	5074
20	109	5090
21	115	5126
22	120	5122
23	126	5136
24	132	5167
25	138	5178
26	144	5203
27	150	5229
28	155	5192
29	158	5124
30	164	5128
31	169	5135
32	175	5143
33	178	5082
34	183	5054
35	188	5043
36	194	5065
37	200	5071
38	205	5067
39	211	5084
40	216	5069
41	221	5048
42	227	5054
43	232	5062
44	238	5071
45	244	5072
46	250	5077
47	256	5083
48	262	5092
49	267	5088
50	273	5094
51	276	5038
52	281	5033
53	288	5045
54	293	5039
55	298	5028
56	303	5028
57	309	5027
58	315	5030
59	321	5031
60	326	5029
61	332	5023
62	337	5024
63	343	5017
64	348	5018
65	351	4980
66	357	4977
67	360	4939
68	365	4935
69	371	4935
70	374	4905
71	380	4899
72	384	4880
73	389	4877
74	395	4876
75	401	4882
76	407	4880
77	412	4875
78	418	4879
79	424	4880
80	431	4890
81	436	4888
82	442	4889
83	448	4890
84	454	4892
85	460	4899
86	467	4909
87	470	4872
88	475	4870
89	481	4872
90	488	4874
91	491	4846
92	493	4813
93	500	4820
94	506	4822
95	512	4822
96	517	4821
97	521	4801
98	527	4798
99	533	4798
100	538	4795
101	543	4785
102	549	4784
103	555	4782
104	561	4782
105	566	4777
106	571	4773
107	576	4757
108	582	4758
109	588	4758
110	593	4754
111	598	4741
112	603	4736
113	609	4733
114	615	4733
115	620	4729
116	625	4721
117	631	4718
118	636	4715
119	642	4711
120	647	4707
121	653	4703
122	659	4700
123	665	4700
124	670	4696
125	676	4692
126	682	4688
127	688	4688
128	694	4686
129	699	4683
130	705	4680
131	711	4677
132	717	4676
133	723	4675
134	728	4670
135	734	4666
136	740	4663
137	742	4640
138	748	4638
139	754	4636
140	760	4630
141	766	4629
142	772	4628
143	777	4624
144	781	4608
145	787	4606
146	793	4604
147	799	4602
148	805	4601
149	811	4600
150	817	4598
151	823	4596
152	829	4593
153	835	4590
154	841	4585
155	846	4581
156	852	4578
157	858	4575
158	864	4574
159	870	4570
160	876	4567
161	883	4569
162	889	4567
163	895	4565
164	900	4557
165	906	4553
166	911	4548
167	916	4539
168	921	4531
169	924	4516
170	930	4511
171	936	4508
172	942	4506
173	948	4501
174	954	4498
175	959	4494
176	965	4487
177	970	4483
178	976	4480
179	983	4478
180	988	4475
181	993	4463
182	998	4456
183	1003	4451
184	1009	4448
185	1013	4433
186	1018	4428
187	1024	4426
188	1030	4421
189	1036	4418
190	1042	4415
191	1047	4409
192	1054	4407
193	1056	4390
194	1062	4387
195	1068	4382
196	1074	4379
197	1080	4375
198	1086	4372
199	1092	4368
200	1098	4364
201	1103	4360
202	1109	4356
203	1114	4347
204	1118	4336
205	1123	4331
206	1129	4326
207	1134	4321
208	1141	4318
209	1147	4317
210	1153	4312
211	1158	4304
212	1163	4297
213	1168	4292
214	1171	4278
215	1177	4273
216	1183	4269
217	1186	4257
218	1192	4253
219	1200	4254
220	1205	4249
221	1211	4244
222	1217	4240
223	1222	4236
224	1228	4233
225	1234	4229
226	1241	4226
227	1247	4222
228	1253	4219
229	1257	4210
230	1261	4198
231	1266	4193
232	1272	4189
233	1277	4183
234	1283	4176
235	1287	4168
236	1293	4163
237	1299	4159
238	1305	4156
239	1311	4152
240	1317	4148
241	1323	4145
242	1329	4140
243	1334	4135
244	1340	4131
245	1346	4126
246	1352	4122
247	1357	4116
248	1361	4107
249	1367	4101
250	1372	4096
251	1378	4092
252	1384	4087
253	1389	4082
254	1395	4077
255	1401	4073
256	1406	4067
257	1412	4063
258	1418	4058
259	1424	4054
260	1430	4049
261	1435	4044
262	1441	4039
263	1447	4035
264	1451	4025
265	1456	4020
266	1462	4015
267	1468	4009
268	1473	4004
269	1479	3999
270	1484	3993
271	1490	3989
272	1496	3985
273	1502	3981
274	1508	3976
275	1514	3971
276	1519	3966
277	1525	3960
278	1530	3954
279	1536	3950
280	1541	3945
281	1547	3939
282	1549	3925
283	1555	3920
284	1561	3916
285	1566	3910
286	1572	3905
287	1577	3900
288	1583	3894
289	1588	3889
290	1594	3885
291	1600	3880
292	1606	3876
293	1612	3871
294	1620	3873
295	1624	3864
296	1630	3858
297	1635	3853
298	1641	3849
299	1646	3840
300	1650	3833
301	1654	3824
302	1658	3816
303	1664	3810
304	1670	3805
305	1675	3799
306	1680	3793
307	1686	3789
308	1692	3784
309	1695	3774
310	1701	3768
311	1706	3762
312	1711	3757
313	1717	3752
314	1723	3748
315	1729	3743
316	1736	3741
317	1742	3736
318	1747	3731
319	1753	3726
320	1759	3721
321	1765	3716
322	1771	3712
323	1776	3707
324	1782	3702
325	1788	3697
326	1793	3692
327	1799	3687
328	1805	3682
329	1811	3677
330	1814	3667
331	1819	3661
332	1826	3657
333	1832	3654
334	1838	3649
335	1844	3644
336	1850	3639
337	1855	3634
338	1861	3629
339	1866	3623
340	1871	3616
341	1877	3612
342	1882	3606
343	1888	3602
344	1894	3597
345	1900	3592
346	1906	3587
347	1911	3581
348	1917	3577
349	1923	3572
350	1929	3566
351	1934	3561
352	1940	3556
353	1946	3551
354	1949	3542
355	1955	3537
356	1961	3532
357	1966	3527
358	1972	3522
359	1978	3517
360	1984	3513
361	1990	3508
362	1996	3504
363	2002	3498
364	2008	3493
365	2013	3487
366	2019	3483
367	2025	3478
368	2031	3473
369	2036	3468
370	2042	3463
371	2048	3457
372	2052	3449
373	2057	3443
374	2062	3437
375	2068	3432
376	2074	3427
377	2079	3421
378	2084	3416
379	2090	3411
380	2096	3405
381	2099	3396
382	2104	3390
383	2110	3385
384	2113	3376
385	2119	3372
386	2122	3361
387	2128	3357
388	2134	3352
389	2140	3347
390	2145	3342
391	2152	3337
392	2157	3332
393	2162	3325
394	2164	3315
395	2169	3309
396	2175	3304
397	2181	3299
398	2187	3294
399	2192	3289
400	2198	3283
401	2204	3279
402	2210	3274
403	2216	3269
404	2221	3263
405	2227	3258
406	2233	3254
407	2240	3250
408	2245	3245
409	2251	3240
410	2255	3231
411	2261	3227
412	2267	3222
413	2272	3217
414	2278	3212
415	2284	3207
416	2290	3201
417	2295	3196
418	2300	3189
419	2305	3183
420	2310	3178
421	2317	3174
422	2323	3169
423	2329	3164
424	2335	3159
425	2341	3154
426	2347	3150
427	2353	3144
428	2358	3139
429	2364	3134
430	2370	3129
431	2375	3123
432	2381	3118
433	2388	3114
434	2394	3109
435	2400	3104
436	2406	3100
437	2410	3092
438	2416	3087
439	2421	3082
440	2427	3077
441	2432	3071
442	2438	3066
443	2444	3061
444	2450	3056
445	2456	3051
446	2462	3046
447	2467	3040
448	2473	3035
449	2479	3030
450	2485	3025
451	2491	3020
452	2496	3014
453	2502	3009
454	2507	3003
455	2513	2998
456	2518	2992
457	2524	2987
458	2530	2982
459	2535	2976
460	2541	2971
461	2547	2966
462	2553	2961
463	2559	2956
464	2564	2951
465	2570	2945
466	2576	2940
467	2581	2934
468	2587	2929
469	2592	2924
470	2598	2918
471	2603	2912
472	2608	2906
473	2614	2901
474	2620	2895
475	2625	2890
476	2631	2885
477	2637	2879
478	2641	2872
479	2647	2867
480	2652	2862
481	2658	2857
482	2665	2852
483	2670	2846
484	2676	2841
485	2681	2836
486	2687	2830
487	2692	2824
488	2698	2820
489	2704	2814
490	2710	2809
491	2716	2804
492	2721	2798
493	2727	2793
494	2732	2787
495	2738	2782
496	2744	2777
497	2750	2772
498	2756	2767
499	2761	2761
500	2767	2756
501	2773	2751
502	2779	2746
503	2784	2740
504	2790	2734
505	2796	2729
506	2802	2724
507	2805	2716
508	2810	2711
509	2816	2705
510	2822	2700
511	2827	2695
512	2833	2689
513	2838	2684
514	2843	2678
515	2848	2671
516	2853	2666
517	2858	2659
518	2864	2654
519	2869	2649
520	2876	2644
521	2881	2638
522	2887	2633
523	2893	2628
524	2899	2623
525	2905	2618
526	2908	2610
527	2912	2603
528	2918	2598
529	2924	2593
530	2929	2587
531	2934	2581
532	2940	2576
533	2946	2571
534	2952	2565
535	2957	2560
536	2962	2554
537	2967	2548
538	2972	2542
539	2978	2537
540	2984	2532
541	2990	2526
542	2996	2521
543	3001	2516
544	3007	2510
545	3013	2505
546	3019	2500
547	3025	2495
548	3030	2489
549	3036	2484
550	3041	2478
551	3046	2472
552	3052	2467
553	3058	2462
554	3064	2456
555	3069	2451
556	3074	2445
557	3080	2440
558	3087	2435
559	3092	2430
560	3098	2424
561	3104	2419
562	3110	2414
563	3116	2409
564	3121	2403
565	3127	2398
566	3133	2392
567	3139	2387
568	3143	2381
569	3149	2376
570	3155	2370
571	3159	2364
572	3164	2358
573	3170	2353
574	3174	2346
575	3179	2340
576	3186	2335
577	3191	2330
578	3197	2325
579	3202	2318
580	3208	2313
581	3214	2308
582	3219	2303
583	3225	2297
584	3230	2291
585	3236	2286
586	3242	2281
587	3247	2275
588	3253	2270
589	3260	2265
590	3265	2259
591	3270	2254
592	3274	2247
593	3280	2242
594	3286	2236
595	3292	2231
596	3298	2226
597	3303	2220
598	3309	2215
599	3315	2210
600	3321	2205
601	3328	2200
602	3332	2194
603	3337	2188
604	3343	2182
605	3348	2177
606	3354	2171
607	3360	2166
608	3366	2161
609	3372	2156
610	3378	2150
611	3383	2145
612	3389	2139
613	3395	2134
614	3401	2129
615	3407	2123
616	3412	2118
617	3418	2113
618	3424	2107
619	3430	2102
620	3436	2097
621	3442	2091
622	3447	2086
623	3453	2081
624	3459	2075
625	3464	2070
626	3470	2064
627	3475	2058
628	3481	2053
629	3488	2048
630	3494	2043
631	3499	2037
632	3505	2032
633	3511	2027
634	3517	2021
635	3523	2016
636	3529	2011
637	3535	2005
638	3540	2000
639	3547	1995
640	3553	1989
641	3558	1984
642	3563	1978
643	3569	1973
644	3574	1967
645	3580	1962
646	3587	1957
647	3592	1951
648	3598	1946
649	3604	1940
650	3610	1935
651	3615	1929
652	3621	1924
653	3626	1918
654	3633	1913
655	3639	1908
656	3644	1902
657	3650	1897
658	3656	1891
659	3662	1886
660	3667	1881
661	3673	1875
662	3678	1870
663	3684	1864
664	3690	1859
665	3696	1853
666	3701	1847
667	3706	1842
668	3712	1836
669	3718	1831
670	3724	1825
671	3729	1820
672	3735	1815
673	3740	1809
674	3747	1804
675	3753	1798
676	3759	1793
677	3764	1788
678	3770	1782
679	3776	1777
680	3782	1771
681	3787	1766
682	3793	1760
683	3799	1755
684	3805	1749
685	3811	1744
686	3816	1738
687	3822	1733
688	3827	1727
689	3833	1722
690	3839	1716
691	3843	1710
692	3849	1705
693	3855	1700
694	3861	1694
695	3866	1688
696	3872	1683
697	3877	1677
698	3883	1672
699	3889	1667
700	3895	1661
701	3901	1656
702	3906	1650
703	3912	1645
704	3918	1639
705	3924	1634
706	3929	1628
707	3935	1623
708	3940	1617
709	3947	1612
710	3953	1606
711	3958	1601
