locality;type of property;subtype of property;price;sale type;number of rooms;area;furnished;open fire;terrace;terrace area;number of facades;building state
Mouscron;Appartement;None;204584;notariale;2;4;0;0;TRUE;40;2;2
Mouscron;Appartement;None;395000;notariale;6;212;0;0;None;None;2;1
Mouscron;Appartement;None;182500;notariale;2;50;0;0;None;None;2;1
Mouscron;Appartement;None;229500;notariale;2;70;0;0;None;None;2;1
Mouscron;Appartement;None;239500;notariale;3;50;0;0;None;None;2;1
Mouscron;Appartement;None;189500;notariale;2;45;0;0;None;None;2;1
Mouscron;Appartement;None;259900;notariale;2;104;0;0;None;None;2;1
Mouscron;Appartement;None;196500;notariale;2;40;0;0;None;None;2;1
Mouscron;Appartement;None;157500;notariale;1;50;0;0;None;None;1;1
Mouscron;Appartement;None;157500;notariale;1;50;0;0;None;None;1;1
Mouscron;Appartement;None;139500;notariale;1;70;0;0;None;None;1;1
Mouscron;Appartement;None;157500;notariale;1;50;0;0;None;None;1;1
Mouscron;Appartement;None;194900;notariale;1;40;0;0;None;None;2;1
Mouscron;Appartement;None;214900;notariale;2;104;0;0;None;None;2;1
Mouscron;Appartement;None;214900;notariale;2;104;0;0;None;None;2;1
Mouscron;Appartement;None;214900;notariale;2;104;0;0;None;None;2;1
Mouscron;Appartement;None;119000;notariale;6;85;0;0;None;None;1;2
Mouscron;Appartement;None;169000;notariale;5;104;0;1;TRUE;10;1;2
Mouscron;Appartement;None;325000;notariale;6;208;0;0;TRUE;10;1;2
Mouscron;Appartement;None;134000;notariale;3;100;0;0;None;None;2;2
Mouscron;Appartement;None;269000;notariale;5;119;0;0;TRUE;20;1;2
Mouscron;Appartement;None;199500;notariale;4;98;0;0;TRUE;60;1;2
Mouscron;Appartement;None;199000;notariale;4;88;0;0;TRUE;20;1;2
Mouscron;Appartement;None;215000;notariale;4;50;0;0;TRUE;20;1;2
Mouscron;Appartement;None;199000;notariale;4;90;0;0;TRUE;50;1;2
Mouscron;Appartement;None;209000;notariale;4;50;0;0;TRUE;50;1;2
Mouscron;Appartement;None;245000;notariale;7;82;0;0;TRUE;18;1;2
Mouscron;Appartement;None;215000;notariale;3;88;0;0;TRUE;4;2;1
Mouscron;Appartement;None;174600;notariale;4;86;0;0;None;None;2;1
Mouscron;Appartement;None;177500;notariale;4;89;0;0;None;None;2;1
Mouscron;Appartement;None;161500;notariale;3;74;0;0;None;None;2;1
Mouscron;Appartement;None;145000;notariale;3;68;0;0;None;None;2;1
Mouscron;Appartement;None;178500;notariale;4;89;0;0;None;None;2;1
Mouscron;Appartement;None;311500;notariale;5;154;0;0;None;None;2;1
Mouscron;Appartement;None;179500;notariale;4;89;0;0;None;None;2;1
Mouscron;Appartement;None;167600;notariale;4;84;0;0;None;None;2;1
Mouscron;Appartement;None;327500;notariale;5;145;0;0;None;None;2;1
Mouscron;Appartement;None;369000;notariale;0;149;0;0;None;None;2;1
Mouscron;Appartement;None;122900;notariale;1;70;0;0;None;None;1;1
Mouscron;Appartement;None;214900;notariale;2;104;0;0;None;None;2;1
Mouscron;Appartement;None;156900;notariale;1;50;0;0;None;None;1;1
Mouscron;Appartement;None;214900;notariale;2;104;0;0;None;None;2;1
Mouscron;Appartement;None;214900;notariale;0;104;0;0;None;None;2;1
Mouscron;Appartement;None;214900;notariale;2;104;0;0;None;None;2;1
Mouscron;Appartement;None;196500;notariale;2;40;0;0;None;None;2;1
Mouscron;Appartement;None;143900;notariale;1;50;0;0;None;None;1;1
Mouscron;Appartement;None;194900;notariale;2;40;0;0;None;None;2;1
Mouscron;Appartement;None;143900;notariale;1;50;0;0;None;None;1;1
Mouscron;Appartement;None;132500;notariale;2;66;0;0;TRUE;46;1;2
Mouscron;Appartement;None;155000;notariale;3;96;0;0;TRUE;10;1;2
Mouscron;Appartement;None;155000;notariale;3;96;0;0;TRUE;10;1;2
Mouscron;Appartement;None;164500;notariale;5;113;0;0;TRUE;14;1;2
Mouscron;Appartement;None;156900;notariale;1;50;0;0;None;None;1;1
Mouscron;Appartement;None;167900;notariale;1;50;0;0;None;None;1;1
Mouscron;Appartement;None;214900;notariale;2;104;0;0;None;None;2;1
Mouscron;Appartement;None;319900;notariale;2;90;0;0;None;None;2;1
Mouscron;Appartement;None;134500;notariale;2;70;0;0;TRUE;15;1;1
Mouscron;Appartement;None;157500;notariale;1;50;0;0;None;None;1;1
Mouscron;Appartement;None;143900;notariale;1;50;0;0;None;None;1;1
Mouscron;Appartement;None;194900;notariale;2;40;0;0;None;None;2;1
Mouscron;Appartement;None;214900;notariale;2;104;0;0;None;None;2;1
Mouscron;Appartement;None;214900;notariale;2;104;0;0;None;None;2;1
Mouscron;Appartement;None;180000;notariale;4;65;0;0;None;None;2;2
Mouscron;Appartement;None;179000;notariale;5;90;0;0;None;None;2;2
Mouscron;Appartement;None;89000;notariale;3;45;0;0;None;None;2;2
Mouscron;Appartement;None;395000;notariale;6;194;0;0;TRUE;16;1;2
Mouscron;Appartement;None;189000;notariale;5;90;0;0;None;None;2;1
Mouscron;Appartement;None;156900;notariale;2;50;0;0;TRUE;12;1;1
Mouscron;Appartement;None;169000;notariale;4;90;0;1;TRUE;9;2;2
Mouscron;Appartement;Duplex;149000;notariale;3;97;0;0;TRUE;20;1;1
Mouscron;Appartement;None;149000;notariale;2;63;0;0;TRUE;4;2;1
Mouscron;Appartement;None;136000;notariale;2;63;0;0;TRUE;4;2;1
